beta,repeat,generation,unique_ratio,similarity
100.0,0,338,0.368,0.26287757024742875
100.0,0,263,0.356,0.3596138499959045
100.0,0,334,0.356,0.28669802202412137
100.0,0,69,0.672,0.19136506508549544
100.0,0,376,0.326,0.2305516646722456
100.0,0,326,0.426,0.27772970489548465
100.0,0,34,0.79,0.13462611893086868
100.0,0,251,0.322,0.27107184265564627
100.0,0,322,0.364,0.3590565408618195
100.0,0,368,0.356,0.2423264405742411
100.0,0,439,0.248,0.21975952154351577
100.0,0,364,0.316,0.27419030942749967
100.0,0,360,0.37,0.26475290534697643
100.0,0,477,0.224,0.3044004465719519
100.0,0,314,0.352,0.19424813841322852
100.0,0,310,0.412,0.2797522586418353
100.0,0,427,0.296,0.26702211869592624
100.0,0,37,0.806,0.138094116366142
100.0,0,352,0.374,0.2954081144697691
100.0,0,423,0.356,0.22518561365492665
100.0,0,469,0.302,0.30053349103188154
100.0,0,85,0.8,0.1756835407678086
100.0,0,394,0.334,0.22831598066645156
100.0,0,465,0.29,0.2615646716226424
100.0,0,390,0.38,0.19870372140357928
100.0,0,80,0.566,0.144822090587059
100.0,0,415,0.29,0.27187893592841905
100.0,0,119,0.488,0.2036914460026391
100.0,0,340,0.38,0.3109023063389978
100.0,0,411,0.35,0.1926051006900304
100.0,0,457,0.3,0.2553337926937565
100.0,0,382,0.308,0.23545476609509
100.0,0,453,0.224,0.41851662392971906
100.0,0,157,0.478,0.2323020521355551
100.0,0,88,0.596,0.20252838533067252
100.0,0,495,0.316,0.21740425383436415
100.0,0,199,0.378,0.18860098553027368
100.0,0,403,0.31,0.24769955469202432
100.0,0,491,0.294,0.24482746335601518
100.0,0,107,0.616,0.21581134573909785
100.0,0,83,0.756,0.1822807306588831
100.0,0,103,0.61,0.18266156853082896
100.0,0,149,0.458,0.23787708784633788
100.0,0,53,0.796,0.1668330217354123
100.0,0,441,0.244,0.28994550925237556
100.0,0,145,0.53,0.2139179323392781
100.0,0,483,0.312,0.21118625142112332
100.0,0,187,0.422,0.21536405076314208
100.0,0,7,0.83,0.11995350912100783
100.0,0,137,0.57,0.22145233848271687
100.0,0,208,0.344,0.18540781343988064
100.0,0,500,0.232,0.2607224828806197
100.0,0,133,0.552,0.20715460788819526
100.0,0,56,0.754,0.15758398430394907
100.0,0,471,0.276,0.1879971031858097
100.0,0,175,0.418,0.2327511637856981
100.0,0,246,0.3,0.34010279088543094
100.0,0,171,0.448,0.1890527255938333
100.0,0,288,0.346,0.2462489133094981
100.0,0,51,0.798,0.1954086683575865
100.0,0,125,0.488,0.22942896963387338
100.0,0,21,0.834,0.12761072077019095
100.0,0,121,0.612,0.2059711149102669
100.0,0,238,0.31,0.2742351656773562
100.0,0,309,0.426,0.2731599429428785
100.0,0,163,0.424,0.21118691608074835
100.0,0,234,0.33,0.2767565756861605
100.0,0,59,0.7,0.14891536043373457
100.0,0,276,0.398,0.1877710568770752
100.0,0,389,0.344,0.22353196992385338
100.0,0,226,0.28,0.25787273105916225
100.0,0,24,0.814,0.1260059149590947
100.0,0,151,0.55,0.1627874426505073
100.0,0,222,0.384,0.23253627873425028
100.0,0,268,0.39,0.19531284947475538
100.0,0,339,0.32,0.27997737144316137
100.0,0,264,0.414,0.18093698707362466
100.0,0,260,0.414,0.21399148887946495
100.0,0,377,0.312,0.21308574253101667
100.0,0,214,0.4,0.2672993404998439
100.0,0,210,0.364,0.23056050850926232
100.0,0,327,0.416,0.2982329186463877
100.0,0,27,0.832,0.129369902218349
100.0,0,252,0.356,0.21850195497349537
100.0,0,323,0.394,0.18885439265645673
100.0,0,369,0.336,0.2616090605205787
100.0,0,75,0.732,0.1980990292915919
100.0,0,294,0.326,0.19877005307389028
100.0,0,365,0.36,0.210364740068043
100.0,0,290,0.334,0.2352473646623732
100.0,0,70,0.732,0.17226092024751444
100.0,0,315,0.322,0.28353803042421727
100.0,0,240,0.324,0.22152648923276722
100.0,0,311,0.356,0.21455300054916762
100.0,0,357,0.28,0.2779165597116193
100.0,0,428,0.268,0.3185200952188691
100.0,0,353,0.348,0.2607092375645156
100.0,0,78,0.726,0.14226063409576656
100.0,0,395,0.336,0.18226884761649442
100.0,0,466,0.248,0.3212019907752346
100.0,0,303,0.356,0.19826123474807525
100.0,0,391,0.358,0.1816829010162371
100.0,0,73,0.742,0.15500027909021136
100.0,0,416,0.336,0.1977724312318056
100.0,0,43,0.216,0.4851898731991715
100.0,0,341,0.408,0.2539936411386382
100.0,0,412,0.334,0.1643017257932746
100.0,0,458,0.212,0.3702870902781718
100.0,0,383,0.334,0.19093499635999509
100.0,0,454,0.21,0.23479180057327567
100.0,0,6,0.796,0.09464183938587967
100.0,0,496,0.304,0.18204553816349386
100.0,0,3,0.208,0.09750997636436605
100.0,0,404,0.318,0.222220734006533
100.0,0,492,0.3,0.2169853712559036
100.0,0,108,0.628,0.2008732443141176
100.0,0,400,0.344,0.2815262672080294
100.0,0,446,0.314,0.21619331003083953
